,X.,session_start_timeStamp,focal_start_timeStamp,timeStamp,scanned_individual_ID,ACTIVITY,HEIGHT,VOCAL,FOOD_ITEM,PARTNER_ID,lat0,lon0,group,species,source
1,1059,"2018-07-27,06:43:22","2018-07-27,07:50:26","2018-07-27,07:50:26",OBR,Foraging,H (15+),No Vocalization,Flower,,-12.56512,-70.101954,AR,LWED,ipad
2,1060,"2018-07-27,06:43:22","2018-07-27,07:50:26","2018-07-27,07:50:26",OBL,Foraging,M (5-15),No Vocalization,Flower,,-12.56512,-70.101954,AR,LWED,ipad
3,1061,"2018-07-27,06:43:22","2018-07-27,08:00:22","2018-07-27,08:00:22",OBG,Foraging,M (5-15),No Vocalization,Flower,,-12.565112,-70.101932,AR,LWED,ipad
4,1062,"2018-07-27,06:43:22","2018-07-27,08:00:22","2018-07-27,08:00:22",OBR,Foraging,M (5-15),No Vocalization,Flower,,-12.565112,-70.101932,AR,LWED,ipad
5,1064,"2018-07-27,06:43:22","2018-07-27,08:20:22","2018-07-27,08:20:22",OBR,Foraging,H (15+),No Vocalization,Fruit,,-12.56563,-70.10226,AR,LWED,ipad
6,1066,"2018-07-27,06:43:22","2018-07-27,08:30:24","2018-07-27,08:30:24",OPO,Moving,M (5-15),No Vocalization,,,-12.56584,-70.102576,AR,LWED,ipad
7,1067,"2018-07-27,06:43:22","2018-07-27,08:30:24","2018-07-27,08:30:24",OBL,Moving,M (5-15),No Vocalization,,,-12.56584,-70.102576,AR,LWED,ipad
8,1068,"2018-07-27,06:43:22","2018-07-27,08:30:24","2018-07-27,08:30:24",OBR,Moving,M (5-15),No Vocalization,,,-12.56584,-70.102576,AR,LWED,ipad
9,1069,"2018-07-27,06:43:22","2018-07-27,08:30:24","2018-07-27,08:30:24",OBG,Moving,M (5-15),No Vocalization,,,-12.56584,-70.102576,AR,LWED,ipad
10,1071,"2018-07-27,06:43:22","2018-07-27,08:40:25","2018-07-27,08:40:25",RC,Resting,M (5-15),No Vocalization,,,-12.56522,-70.102664,AR,LWED,ipad
11,1072,"2018-07-27,06:43:22","2018-07-27,08:40:25","2018-07-27,08:40:25",OBR,Moving,M (5-15),No Vocalization,,,-12.56522,-70.102664,AR,LWED,ipad
12,1073,"2018-07-27,06:43:22","2018-07-27,08:40:25","2018-07-27,08:40:25",OBL,Moving,M (5-15),No Vocalization,,,-12.56522,-70.102664,AR,LWED,ipad
13,1074,"2018-07-27,06:43:22","2018-07-27,08:40:25","2018-07-27,08:40:25",OPO,Moving,M (5-15),Short Call,,,-12.56522,-70.102664,AR,LWED,ipad
14,1075,"2018-07-27,06:43:22","2018-07-27,08:50:30","2018-07-27,08:50:30",OBL,Autogrooming,H (15+),No Vocalization,,,-12.564648,-70.102798,AR,LWED,ipad
15,1076,"2018-07-27,06:43:22","2018-07-27,08:50:30","2018-07-27,08:50:30",OBG,Foraging,H (15+),No Vocalization,Exudate,,-12.564648,-70.102798,AR,LWED,ipad
16,1077,"2018-07-27,06:43:22","2018-07-27,08:50:30","2018-07-27,08:50:30",OBR,Moving,H (15+),No Vocalization,,,-12.564648,-70.102798,AR,LWED,ipad
17,1078,"2018-07-27,06:43:22","2018-07-27,09:00:22","2018-07-27,09:00:22",OBG,Resting,M (5-15),No Vocalization,,,-12.564104,-70.1029,AR,LWED,ipad
18,1079,"2018-07-27,06:43:22","2018-07-27,09:00:22","2018-07-27,09:00:22",OBR,Moving,M (5-15),No Vocalization,,,-12.564104,-70.1029,AR,LWED,ipad
19,1083,"2018-07-27,06:43:22","2018-07-27,09:30:28","2018-07-27,09:30:28",OBR,Moving,H (15+),No Vocalization,,,-12.56339,-70.10373,AR,LWED,ipad
20,1084,"2018-07-27,06:43:22","2018-07-27,09:30:28","2018-07-27,09:30:28",OBL,Moving,H (15+),Trill (SFUS),,,-12.56339,-70.10373,AR,LWED,ipad
21,1085,"2018-07-27,06:43:22","2018-07-27,09:40:23","2018-07-27,09:40:23",OBR,Moving,M (5-15),No Vocalization,,,-12.562092,-70.103738,AR,LWED,ipad
22,1086,"2018-07-27,06:43:22","2018-07-27,09:40:23","2018-07-27,09:40:23",RC,Moving,M (5-15),No Vocalization,,,-12.562092,-70.103738,AR,LWED,ipad
23,1089,"2018-07-27,06:43:22","2018-07-27,10:00:19","2018-07-27,10:00:19",OBR,Moving,M (5-15),No Vocalization,,,-12.561174,-70.103416,AR,LWED,ipad
24,1090,"2018-07-27,06:43:22","2018-07-27,10:00:19","2018-07-27,10:00:19",OBL,Resting,M (5-15),No Vocalization,,,-12.561174,-70.103416,AR,LWED,ipad
25,1092,"2018-07-27,06:43:22","2018-07-27,10:10:27","2018-07-27,10:10:27",OBR,Moving,M (5-15),No Vocalization,,,-12.560862,-70.102774,AR,LWED,ipad
26,1094,"2018-07-27,06:43:22","2018-07-27,10:20:22","2018-07-27,10:20:22",OPO,Moving,M (5-15),No Vocalization,,,-12.56087,-70.102318,AR,LWED,ipad
27,1095,"2018-07-27,06:43:22","2018-07-27,10:20:22","2018-07-27,10:20:22",OBL,Moving,M (5-15),No Vocalization,,,-12.56087,-70.102318,AR,LWED,ipad
28,1097,"2018-07-27,06:43:22","2018-07-27,10:30:24","2018-07-27,10:30:24",RC,Moving,M (5-15),No Vocalization,,,-12.561102,-70.101414,AR,LWED,ipad
29,1098,"2018-07-27,06:43:22","2018-07-27,10:30:24","2018-07-27,10:30:24",OBL,Resting,M (5-15),No Vocalization,,,-12.561102,-70.101414,AR,LWED,ipad
30,1099,"2018-07-27,06:43:22","2018-07-27,10:30:24","2018-07-27,10:30:24",OBR,Moving,M (5-15),No Vocalization,,,-12.561102,-70.101414,AR,LWED,ipad
31,1101,"2018-07-27,06:43:22","2018-07-27,10:40:22","2018-07-27,10:40:22",OBG,Resting,H (15+),No Vocalization,,,-12.560998,-70.100782,AR,LWED,ipad
32,1102,"2018-07-27,06:43:22","2018-07-27,10:40:22","2018-07-27,10:40:22",OBL,Moving,H (15+),No Vocalization,,,-12.560998,-70.100782,AR,LWED,ipad
33,1103,"2018-07-27,06:43:22","2018-07-27,10:50:22","2018-07-27,10:50:22",OPO,Moving,M (5-15),No Vocalization,,,-12.560892,-70.100782,AR,LWED,ipad
34,1104,"2018-07-27,06:43:22","2018-07-27,10:50:22","2018-07-27,10:50:22",OBG,Foraging,H (15+),No Vocalization,Fruit,,-12.560892,-70.100782,AR,LWED,ipad
35,1105,"2018-07-27,11:12:08","2018-07-27,11:12:16","2018-07-27,11:12:16",HS,Moving,L (0-5m),No Vocalization,,,-12.561408,-70.101362,AR;HS,SIMP,ipad
36,1106,"2018-07-27,11:12:08","2018-07-27,11:12:16","2018-07-27,11:12:16",OBR,Resting,M (5-15),No Vocalization,,,-12.561408,-70.101362,AR;HS,LWED,ipad
37,1107,"2018-07-27,11:12:08","2018-07-27,11:12:16","2018-07-27,11:12:16",OBL,Moving,M (5-15),No Vocalization,,,-12.561408,-70.101362,AR;HS,LWED,ipad
38,1108,"2018-07-27,11:12:08","2018-07-27,11:12:16","2018-07-27,11:12:16",OBG,Resting,M (5-15),No Vocalization,,,-12.561408,-70.101362,AR;HS,LWED,ipad
39,1109,"2018-07-27,11:12:08","2018-07-27,11:20:21","2018-07-27,11:20:21",HS,Foraging,M (5-15),No Vocalization,Invertebrate,,-12.561536,-70.100996,AR;HS,SIMP,ipad
40,1110,"2018-07-27,11:12:08","2018-07-27,11:20:21","2018-07-27,11:20:21",OBR,Foraging,M (5-15),No Vocalization,Invertebrate,,-12.561536,-70.100996,AR;HS,LWED,ipad
