,X.,session_start_timeStamp,focal_start_timeStamp,timeStamp,scanned_individual_ID,ACTIVITY,HEIGHT,VOCAL,FOOD_ITEM,PARTNER_ID,lat0,lon0,species,source
1,,,,6/9/18,,SleepTree,,,,,-12.56596299,-70.10261597,SIMP,
1,,,,6/13/18,,SleepTree,,,,,-12.56806701,-70.10007198,SIMP,
1,,,,6/15/18,,SleepTree,,,,,-12.56096302,-70.10326096,SIMP,
1,,,,6/18/18,,SleepTree,,,,,-12.56395896,-70.09684201,SIMP,
1,,,,6/18/18,,SleepTree,,,,,-12.56788203,-70.10065301,SIMP,
1,,,,6/19/18,,SleepTree,,,,,-12.56284802,-70.10296198,SIMP,
1,,,,6/19/18,,SleepTree,,,,,-12.56665902,-70.09908576,SIMP,
1,,,,6/19/18,,SleepTree,,,,,-12.56284802,-70.10296198,SIMP,
1,,,,6/20/18,,SleepTree,,,,,-12.56705599,-70.10111402,SIMP,
1,,,,6/22/18,,SleepTree,,,,,-12.56642902,-70.10213099,SIMP,
1,,,,6/23/18,,SleepTree,,,,,-12.564398,-70.10304102,SIMP,
1,,,,6/25/18,,SleepTree,,,,,-12.562255,-70.10321704,SIMP,
1,,,,6/25/18,,SleepTree,,,,,-12.56691098,-70.10142197,SIMP,
1,,,,6/26/18,,SleepTree,,,,,-12.56216498,-70.10322701,SIMP,
1,,,,6/27/18,,SleepTree,,,,,-12.56226104,-70.10295804,SIMP,
1,,,,6/27/18,,SleepTree,,,,,-12.56591303,-70.10057003,SIMP,
1,,,,6/28/18,,SleepTree,,,,,-12.56649398,-70.09985698,SIMP,
1,,,,6/28/18,,SleepTree,,,,,-12.56360902,-70.100032,SIMP,
1,,,,6/29/18,,SleepTree,,,,,-12.56392602,-70.09683204,SIMP,
1,,,,6/29/18,,SleepTree,,,,,-12.56616198,-70.10094202,SIMP,
1,,,,6/30/18,,SleepTree,,,,,-12.56601202,-70.10262997,SIMP,
1,,,,6/30/18,,SleepTree,,,,,-12.56702397,-70.10131099,SIMP,
1,,,,7/1/18,,SleepTree,,,,,-12.56775202,-70.10076097,SIMP,
1,,,,7/2/18,,SleepTree,,,,,-12.566295,-70.10095996,SIMP,
1,,,,7/2/18,,SleepTree,,,,,-12.56486999,-70.09381397,SIMP,
1,,,,7/3/18,,SleepTree,,,,,-12.56107701,-70.091087,SIMP,
1,,,,7/4/18,,SleepTree,,,,,-12.565146,-70.09234998,SIMP,
1,,,,7/6/18,,SleepTree,,,,,-12.56456204,-70.092368,SIMP,
1,,,,7/7/18,,SleepTree,,,,,-12.56551598,-70.09241997,SIMP,
1,,,,7/8/18,,SleepTree,,,,,-12.56278901,-70.09133602,SIMP,
1,,,,7/9/18,,SleepTree,,,,,-12.56377003,-70.09160399,LWED,
1,,,,7/10/18,,SleepTree,,,,,-12.56443497,-70.09142403,LWED,
1,,,,7/10/18,,SleepTree,,,,,-12.56570298,-70.09398596,LWED,
1,,,,7/11/18,,SleepTree,,,,,-12.562038,-70.09418897,LWED,
1,,,,7/11/18,,SleepTree,,,,,-12.56437101,-70.09148003,LWED,
1,,,,7/12/18,,SleepTree,,,,,-12.56441896,-70.091475,LWED,
1,,,,7/12/18,,SleepTree,,,,,-12.56233304,-70.09441897,LWED,
1,,,,7/13/18,,SleepTree,,,,,-12.56399098,-70.09155303,LWED,
1,,,,7/13/18,,SleepTree,,,,,-12.565346,-70.08945001,LWED,
1,,,,7/14/18,,SleepTree,,,,,-12.56440898,-70.09142202,LWED,
1,,,,7/14/18,,SleepTree,,,,,-12.56404303,-70.09455903,LWED,
1,,,,7/16/18,,SleepTree,,,,,-12.56565998,-70.09798698,LWED,
1,,,,7/24/18,,SleepTree,,,,,-12.56174002,-70.103427,SIMP,
1,,,,7/25/18,,SleepTree,,,,,-12.56209902,-70.101773,SIMP,
1,,,,7/26/18,,SleepTree,,,,,-12.56221896,-70.10301,SIMP,
